team,n_win,n_loss,yusag_coeff,seed,conference,finals,champ,loc_type
Penn St.,11,9,14.510018978106222,7,Big 10,0.23100000000000018,0.09400000000000007,N
Rutgers,11,9,14.303654958941598,8,Big 10,0.1230000000000001,0.06400000000000004,N
SFA,19,1,4.5188610972002525,1,Southland,0.8580000000000007,0.7320000000000005,H
Abilene Christian,15,5,-1.6290242150084984,2,Southland,0.6020000000000004,0.1540000000000001,H
Nicholls St.,15,5,-3.02325782718414,3,Southland,0.2940000000000002,0.06600000000000004,H
Sam Houston St.,11,9,-4.266507834514057,4,Southland,0.10900000000000008,0.03200000000000002,H
Northwestern St.,11,9,-8.901244561490818,5,Southland,0.016000000000000007,0.003,H
Lamar University,10,10,-6.816135996118791,6,Southland,0.05600000000000004,0.008,H
McNeese,10,10,-7.254784594042544,7,Southland,0.048000000000000036,0.004,H
A&M-Corpus Christi,10,10,-9.310157270714514,8,Southland,0.017000000000000008,0.001,H
San Diego St.,19,2,17.13725223842716,1,MWC,0.8560000000000006,0.7260000000000005,H
Utah St.,15,6,12.171373352943691,2,MWC,0.7000000000000005,0.19200000000000014,H
Nevada,12,7,7.842136165498635,3,MWC,0.20000000000000015,0.027000000000000017,H
UNLV,12,6,6.103381297952216,4,MWC,0.07500000000000005,0.023000000000000013,H
Boise St.,11,8,7.8194730043085965,5,MWC,0.059000000000000045,0.023000000000000013,H
Colorado St.,11,8,5.884852370460466,6,MWC,0.07200000000000005,0.004,H
New Mexico,8,12,1.9145446945988063,7,MWC,0.028000000000000018,0.003,H
Fresno St.,7,12,1.2806034627787746,8,MWC,0.010000000000000002,0.002,H
Akron,14,4,6.551678095786555,1,MAC,0.6660000000000005,0.5230000000000004,H
Bowling Green,12,6,-0.19157811003509373,2,MAC,0.2880000000000002,0.09700000000000007,H
Ball St.,11,7,3.6560259652076645,3,MAC,0.3740000000000003,0.1530000000000001,H
Buffalo,11,7,1.8146047253463848,4,MAC,0.23100000000000018,0.10200000000000008,H
Northern Ill.,11,7,-1.0109694775608915,5,MAC,0.05300000000000004,0.02100000000000001,H
Kent St.,9,9,3.1293676039234732,6,MAC,0.22100000000000017,0.07400000000000005,H
Toledo,8,10,0.9024131524803263,7,MAC,0.11700000000000009,0.01900000000000001,H
Ohio,8,10,-0.2538445368655644,8,MAC,0.05000000000000004,0.011000000000000003,H
Kentucky,15,3,13.813374103782037,1,SEC,0.5350000000000004,0.3780000000000003,H
LSU,12,6,12.72407162935984,2,SEC,0.5590000000000004,0.2580000000000002,H
Auburn,12,6,12.704989079513664,3,SEC,0.35000000000000026,0.1510000000000001,H
Florida,11,7,13.433661507669056,4,SEC,0.32800000000000024,0.1490000000000001,H
Mississippi St.,11,7,10.832408503310942,5,SEC,0.09200000000000007,0.028000000000000018,H
South Carolina,10,8,8.99908094885515,6,SEC,0.07700000000000005,0.022000000000000013,H
Texas A&M,10,8,3.8293927020809058,7,SEC,0.014000000000000005,0.002,H
Tennessee,9,9,9.115300293790705,8,SEC,0.04500000000000003,0.012000000000000004,H
Prairie View,14,4,-4.25167664296657,1,SWAC,0.7340000000000005,0.5290000000000004,H
Southern U.,13,5,-5.430670115501561,2,SWAC,0.6680000000000005,0.3020000000000002,H
Texas Southern,12,6,-8.475966627081469,3,SWAC,0.23800000000000018,0.059000000000000045,H
Jackson St.,11,7,-8.0836120428897,4,SWAC,0.18700000000000014,0.07100000000000005,H
Grambling,11,7,-9.374812791246605,5,SWAC,0.06800000000000005,0.024000000000000014,H
Alcorn,11,7,-11.43193156852894,6,SWAC,0.059000000000000045,0.011000000000000003,H
Alabama St.,7,11,-13.568486455052861,7,SWAC,0.035000000000000024,0.003,H
Alabama A&M,5,13,-16.2069144136358,8,SWAC,0.011000000000000003,0.001,H
Vermont,14,2,7.823610438184646,1,Am. East,0.9010000000000007,0.8060000000000006,H
Stony Brook,10,6,-0.8039474688115558,2,Am. East,0.6940000000000005,0.1400000000000001,H
Hartford,9,7,-5.952655805628574,3,Am. East,0.18500000000000014,0.025000000000000015,H
New Hampshire,8,8,-5.483625813407357,4,Am. East,0.058000000000000045,0.009000000000000001,H
UMBC,8,8,-6.9359955302184915,5,Am. East,0.03000000000000002,0.004,H
UMass Lowell,7,9,-6.894401248461909,6,Am. East,0.07100000000000005,0.009000000000000001,H
Albany (NY),7,9,-7.551405621785845,7,Am. East,0.05000000000000004,0.005,H
Maine,5,11,-10.596858987151261,8,Am. East,0.011000000000000003,0.002,H
Colgate,14,4,2.9732714134449836,1,Patriot,0.8010000000000006,0.6020000000000004,H
Boston U.,12,6,0.06571012692257483,2,Patriot,0.5990000000000004,0.22800000000000017,H
American,12,6,-2.026627983343272,3,Patriot,0.2990000000000002,0.09100000000000007,H
Lafayette,10,8,-3.928568300877501,4,Patriot,0.1480000000000001,0.04900000000000004,H
Army West Point,10,8,-6.82501009484449,5,Patriot,0.03800000000000003,0.004,H
Navy,8,10,-6.1776848983397095,6,Patriot,0.058000000000000045,0.01800000000000001,H
Bucknell,8,10,-6.270287018177342,7,Patriot,0.04400000000000003,0.006,H
Loyola Maryland,7,11,-7.578707802322742,8,Patriot,0.013000000000000005,0.002,H
Little Rock,15,5,2.860434382106325,1,Sunbelt,0.44500000000000034,0.2620000000000002,H
Texas St.,13,7,5.324100881852591,2,Sunbelt,0.5880000000000004,0.35400000000000026,H
South Alabama,13,7,0.5131942268465135,3,Sunbelt,0.17300000000000013,0.06800000000000005,H
Georgia St.,12,8,4.119874191792766,4,Sunbelt,0.3970000000000003,0.17100000000000012,H
Ga. Southern,12,8,2.098081533037485,5,Sunbelt,0.11200000000000009,0.03800000000000003,H
Appalachian St.,11,9,-0.29860290771694586,6,Sunbelt,0.09000000000000007,0.03100000000000002,H
UT Arlington,10,10,2.891534112769243,7,Sunbelt,0.1490000000000001,0.06100000000000005,H
Coastal Carolina,8,12,-1.2653322814239374,8,Sunbelt,0.046000000000000034,0.015000000000000006,H
Oregon,13,5,15.720447641200826,1,Pac 12,0.5890000000000004,0.45000000000000034,H
UCLA,12,6,8.032254416970394,2,Pac 12,0.22900000000000018,0.06100000000000005,H
Southern California,11,7,9.87816910959254,3,Pac 12,0.2440000000000002,0.08300000000000006,H
Arizona St.,11,7,9.385491070910719,4,Pac 12,0.07600000000000005,0.03300000000000002,H
Arizona,10,8,16.60353854685554,5,Pac 12,0.3020000000000002,0.21100000000000016,H
Colorado,10,8,13.576895395869192,6,Pac 12,0.34500000000000025,0.11100000000000008,H
Stanford,9,9,11.68212606119131,7,Pac 12,0.18200000000000013,0.04100000000000003,H
Oregon St.,7,11,7.688641504785201,8,Pac 12,0.03300000000000002,0.010000000000000002,H
Belmont,17,3,5.1393257190232955,1,OVC,0.8550000000000006,0.6330000000000005,H
Murray St.,16,4,2.813734136767181,2,OVC,0.6830000000000005,0.25000000000000017,H
Austin Peay,15,5,0.12388973349362509,3,OVC,0.2610000000000002,0.08200000000000006,H
Eastern Ky.,13,7,-7.629255416776592,4,OVC,0.05300000000000004,0.008,H
Eastern Ill.,10,10,-4.221550390747271,5,OVC,0.07700000000000005,0.02000000000000001,H
Tennessee St.,10,10,-6.275185342866716,6,OVC,0.036000000000000025,0.002,H
Jacksonville St.,8,11,-7.230107773868443,7,OVC,0.02000000000000001,0.002,H
Morehead St.,7,12,-10.182733339406424,8,OVC,0.015000000000000006,0.003,H
Kansas,17,1,22.913608355311283,1,Big 12,0.8420000000000006,0.6740000000000005,H
Baylor,15,3,18.48817696641398,2,Big 12,0.6400000000000005,0.19400000000000014,H
West Virginia,9,9,16.619319842986044,3,Big 12,0.3020000000000002,0.08100000000000006,H
Texas Tech,9,9,15.170228464484568,4,Big 12,0.12700000000000009,0.03800000000000003,H
Oklahoma,9,9,12.009640488524406,5,Big 12,0.023000000000000013,0.005,H
Texas,9,9,8.532516269831861,6,Big 12,0.02900000000000002,0.003,H
Oklahoma St.,7,11,10.272871686533064,7,Big 12,0.02900000000000002,0.004,H
TCU,7,11,7.480215939882564,8,Big 12,0.008,0.001,H
N.C. Central,13,3,-7.382288753778611,1,MEAC,0.5600000000000004,0.33300000000000024,H
Norfolk St.,12,4,-5.389853894447033,2,MEAC,0.6210000000000004,0.36200000000000027,H
N.C. A&T,12,4,-6.998051119433214,3,MEAC,0.2840000000000002,0.1460000000000001,H
Bethune-Cookman,10,6,-7.788226528369087,4,MEAC,0.3050000000000002,0.10000000000000007,H
Florida A&M,10,6,-10.056035670861377,5,MEAC,0.09500000000000007,0.02900000000000002,H
Morgan St.,9,7,-11.18224002337318,6,MEAC,0.06200000000000005,0.013000000000000005,H
Coppin St.,7,9,-12.615992995559079,7,MEAC,0.03300000000000002,0.007,H
South Carolina St.,6,10,-13.137681338884857,8,MEAC,0.04000000000000003,0.010000000000000002,H
Florida St.,16,4,15.64651003154552,1,ACC,0.6570000000000005,0.33800000000000024,H
Duke,15,5,20.24640251684093,2,ACC,0.7130000000000005,0.48000000000000037,H
Louisville,15,5,15.869339444413763,3,ACC,0.2440000000000002,0.1320000000000001,H
Virginia,15,5,10.287126176684739,4,ACC,0.16900000000000012,0.022000000000000013,H
Georgia Tech,11,9,9.16653628101661,5,ACC,0.09400000000000007,0.010000000000000002,H
NC State,10,10,10.08514670217273,6,ACC,0.02900000000000002,0.005,H
Syracuse,10,10,9.742665582849911,7,ACC,0.014000000000000005,0.002,H
Notre Dame,10,10,9.09584729808572,8,ACC,0.08000000000000006,0.011000000000000003,H
UNI,14,5,9.400055963712036,1,MVC,0.7510000000000006,0.6000000000000004,H
Bradley,14,7,4.843878378615738,2,MVC,0.4880000000000004,0.17000000000000012,H
Loyola Chicago,13,6,5.271765288413901,3,MVC,0.34900000000000025,0.11300000000000009,H
Valparaiso,12,10,1.579702056027486,4,MVC,0.10800000000000008,0.03800000000000003,H
Indiana St.,11,8,2.79814361932692,5,MVC,0.09800000000000007,0.02900000000000002,H
Missouri St.,10,10,3.5607162717298966,6,MVC,0.11600000000000009,0.03100000000000002,H
Drake,10,11,0.039396731614967706,7,MVC,0.047000000000000035,0.009000000000000001,H
Southern Ill.,10,9,-0.22412749282707622,8,MVC,0.04300000000000003,0.010000000000000002,H
Yale,11,3,8.076534471528953,1,Ivy,0.8300000000000006,0.6680000000000005,H
Harvard,10,4,3.9722192168410686,2,Ivy,0.6900000000000005,0.20300000000000015,H
Princeton,9,5,0.9303399154171377,3,Ivy,0.2410000000000002,0.06600000000000004,H
Penn,8,6,1.8017420531538892,4,Ivy,0.1470000000000001,0.05400000000000004,H
Brown,8,6,-3.020523053840253,5,Ivy,0.02000000000000001,0.002,H
Dartmouth,5,9,-2.4815217236627074,6,Ivy,0.048000000000000036,0.006,H
Cornell,4,10,-6.666669244357613,7,Ivy,0.02100000000000001,0.001,H
Columbia,1,13,-9.010130261818492,8,Ivy,0.003,0,H
Merrimack,14,4,-4.496695021858776,1,NEC,0.45700000000000035,0.23800000000000018,H
Saint Francis (PA),13,5,-0.9937919849391541,2,NEC,0.5600000000000004,0.34100000000000025,H
Robert Morris,13,5,-3.1901216166921476,3,NEC,0.2840000000000002,0.1540000000000001,H
Sacred Heart,12,6,-1.9029448137626641,4,NEC,0.4080000000000003,0.18700000000000014,H
LIU,9,9,-6.019912422835195,5,NEC,0.09600000000000007,0.023000000000000013,H
Fairleigh Dickinson,9,9,-7.66034763498403,6,NEC,0.059000000000000045,0.011000000000000003,H
Bryant,7,11,-4.718228779202313,7,NEC,0.09700000000000007,0.03800000000000003,H
Mount St. Mary's,7,11,-8.054534003478652,8,NEC,0.03900000000000003,0.008,H
Creighton,13,5,16.322406937056975,1,Big East,0.6060000000000004,0.4030000000000003,H
Villanova,13,5,15.451362307002304,2,Big East,0.5200000000000004,0.2490000000000002,H
Seton Hall,13,5,15.22568395516849,3,Big East,0.3090000000000002,0.1580000000000001,H
Providence,12,6,12.490590416503524,4,Big East,0.20000000000000015,0.05600000000000004,H
Butler,10,8,13.76995838751161,5,Big East,0.1510000000000001,0.06800000000000005,H
Marquette,8,10,13.968805671635634,6,Big East,0.12700000000000009,0.046000000000000034,H
Xavier,8,10,11.276470958191185,7,Big East,0.04400000000000003,0.008,H
